mmd_english,mmd_english_alt,mmd_japanese,mmd_japaneseLR,ffxiv,yakuza,fortnite,xna_lara,daz_poser,blender_rigify,sims_2,motion_builder,3ds_max,type_x,bepu,project_mirai,manuel_bastioni_lab,makehuman_mhx,sims_3,doa5lr,Bip_001,biped_3ds_max,biped_sfm,valvebiped,iClone7,autorig_pro,mixamo
root,ParentNode,全ての親,全ての親,,,root,root ground,,root,auskel,,,,,gblctr,root,,b__ROOT__,,Bip001 Root,Root,rootTransform,RootTransform,RootNode,c_pos,
neck,Neck,首,首,j_kubi,kubi_c_n,neck_02,head neck lower,neck,spine.004,neck,Neck,Neck,Neck,neck,kl_kubi,neck,neck02,b__Neck__,MOT15_Neck,Bip001 Neck,Neck,bip_neck,ValveBiped.Bip01_Neck,NeckTwist01,c_neck.x,mixamorig:Neck
head,Head,頭,頭,j_kao,face_c_n,head,head neck upper,head,spine.005,head,Head,Head,Head,head,cl_kao,head,head,b__Head__,MOT01_Head,Bip001 Head,Head,bip_head,ValveBiped.Bip01_Head,Head,c_head.x,mixamorig:Head
center,Center,センター,センター,,,,root hips,hip,spine,root_rot,Hips,Hips,Hip,,n_hara_cp,pelvis,root,b__ROOT_bind__,MOT00_Hips,Bip001 Pelvis,Pelvis,bip_pelvis,ValveBiped.Bip01_Pelvis,Hip,c_root_master.x,
center_2,Center2,センター2,センター2,,,,,,,,,,,,,,,,,,,,,,,
upper body,UpperBody,上半身,上半身,j_sebo_a,kosi_c_n,spine_02,spine lower,abdomen,Spine.001,spine0,chest,Chest,Chest1,spine,j_mune_wj,spine01,spine04,b__Spine0__,MOT16_Waist,Bip001 Spine1,Spine1,bip_spine_1,ValveBiped.Bip01_Spine1,Waist,c_spine_01.x,mixamorig:Spine
upper body 2,UpperBody2,上半身2,上半身2,j_sebo_b,mune_c_n,spine_04,spine upper,chest,spine.002,spine2,Spine2,Chest3,,chest,kl_mune_b_wj,spine02,spine02,b__Spine1__,MOT02_Chest,Bip001 Spine2,Spine2,bip_spine_2,ValveBiped.Bip01_Spine2,Spine01,c_spine_02.x,mixamorig:Spine1
upper body 3,UpperBody3,上半身3,上半身3,j_sebo_c,,spine_05,,,,,,,,,,,,,,,,,,,,
lower body,LowerBody,下半身,下半身,j_kosi,ketu_c_n,spine_01,pelvis,,hips,,,,,hips,kl_kosi_etc_wj,,,b__Pelvis__,,,,,,Pelvis,,mixamorig:Hips
shoulder_L,LeftShoulder,左肩,肩.L,j_sako_l,kata_l_n,clavicle_l,arm left shoulder 1,lCollar,shoulder.L,l_clavicle,LeftShoulder,LeftCollar,Left Collar,shoulder.L,kl_waki_l_wj,clavicle_L,shoulder01.L,b__L_Clavicle__,MOT_*Shoulder.1.L,Bip001 L Clavicle,L Clavicle,bip_collar_L,ValveBiped.Bip01_L_Clavicle,L_Clavicle,c_shoulder.l,mixamorig:LeftShoulder
arm_L,LeftArm,左腕,腕.L,j_ude_a_l,ude1_l_n,upperarm_l,arm left shoulder 2,lShldr,upper_arm.L,l_upperarm,LeftUpArm,LeftShoulder,Left Shoulder,uparm.L,j_kata_l_wj_cu,upperarm_L,upperarm02.L,b__L_UpperArm__,MOT_*Arm.1.L,Bip001 L UpperArm,L UpperArm,bip_upperArm_L,ValveBiped.Bip01_L_UpperArm,L_Upperarm,c_arm_fk.l,mixamorig:LeftArm
elbow_L,LeftElbow,左ひじ,ひじ.L,j_ude_b_l,ude2_l_n,lowerarm_l,arm left elbow,lForeArm,forearm.L,l_forearm,LeftLowArm,LeftElbow,Left Forearm,loarm.L,j_ude_l_wj,lowerarm_L,lowerarm01.L,b__L_Forearm__,MOT_*ForeArm.1.L,Bip001 L Forearm,L Forearm,bip_lowerArm_L,ValveBiped.Bip01_L_Forearm,L_Forearm,c_forearm_fk.l,mixamorig:LeftForeArm
